1,Pizza by Ribs Grill,https://tazz.ro/timisoara/pizza-by-ribs-grill/5132/partener,Internațional 
,,,
2,Al Caminetto,https://tazz.ro/timisoara/al-caminetto/4297/partener,Internațional 
,,,
3,Vegline,https://tazz.ro/timisoara/vegline/4349/partener,Internațional 
,,,
4,Kunde,https://tazz.ro/timisoara/kunde/4899/partener,Internațional 
,,,
5,Ribs Grill Delivery,https://tazz.ro/timisoara/ribs-grill-delivery/3991/partener,Internațional 
,,,
6,Music Pizza,https://tazz.ro/timisoara/music-pizza/4761/partener,Internațional 
,,,
7,Epic Burgery,https://tazz.ro/timisoara/epic-burgery/4820/partener,Internațional 
,,,
8,La Padure,https://tazz.ro/timisoara/la-padure/4568/partener,Internațional 
,,,
9,Grill Sarbesc Pub,https://tazz.ro/timisoara/grill-sarbesc-pub/1774/partener,Internațional 
,,,
10,Trio Giroc,https://tazz.ro/timisoara/trio-giroc/4083/partener,Internațional 
,,,
11,Zaza Resto Pub,https://tazz.ro/timisoara/zaza-resto-pub/4326/partener,Internațional 
,,,
12,Restaurant Merlot,https://tazz.ro/timisoara/restaurant-merlot/108/partener,Internațional 
,,,
13,Donna Anna Cuisine,https://tazz.ro/timisoara/donna-anna-cuisine/4201/partener,Internațional 
,,,
14,Yugoslavia,https://tazz.ro/timisoara/yugoslavia/17/partener,Sârbesc 
,,,
15,Star Food,https://tazz.ro/timisoara/star-food/4804/partener,Internațional 
,,,
16,Jack`s Bistro,https://tazz.ro/timisoara/jack-s-bistro/1795/partener,Internațional 
,,,
17,Cafeneaua Verde,https://tazz.ro/timisoara/cafeneaua-verde/4239/partener,Internațional 
,,,
18,Food Point Dumbravita,https://tazz.ro/timisoara/food-point-dumbravita/3627/partener,Italian 
,,,
19,Anturaj,https://tazz.ro/timisoara/anturaj/417/partener,Internațional 
,,,
20,Fresh Kebab Centru,https://tazz.ro/timisoara/fresh-kebab-centru/199/partener,Internațional 
,,,
21,Urban King,https://tazz.ro/timisoara/urban-king/1717/partener,Internațional 
,,,
22,Sushi Master Timisoara,https://tazz.ro/timisoara/sushi-master-timisoara/1861/partener,Asiatic 
,,,
23,Drunken Rat,https://tazz.ro/timisoara/drunken-rat/303/partener,Internațional 
,,,
24,Berarescu,https://tazz.ro/timisoara/berarescu/516/partener,Internațional 
,,,
