
1,Big Belly,https://tazz.ro/cluj-napoca/big-belly/1121/partener,Internațional 
2,Samsara,https://tazz.ro/cluj-napoca/samsara/2963/partener,Internațional 
3,McDonald’s Vivo Cluj,https://tazz.ro/cluj-napoca/mcdonald-s-vivo-cluj/1421/partener,American 
4,Samsara Restaurant,https://tazz.ro/cluj-napoca/samsara-restaurant/4131/partener,Internațional 
5,Marty West Side,https://tazz.ro/cluj-napoca/marty-west-side/3128/partener,Internațional 
6,Express Chef,https://tazz.ro/cluj-napoca/express-chef/1154/partener,Internațional 
7,Meat Busters at /FORM Café,https://tazz.ro/cluj-napoca/meat-busters-at-form-caf-/1236/partener,Internațional 
8,Frank the Tank | by JAXX,https://tazz.ro/cluj-napoca/frank-the-tank-by-jaxx/4191/partener,Internațional 
9,Rhedey Cafe,https://tazz.ro/cluj-napoca/rhedey-cafe/4115/partener,Internațional 
10,Sarmala Fusion - International Cuisine,https://tazz.ro/cluj-napoca/sarmala-fusion-international-cuisine/1357/partener,Internațional 
11,Schnitzel on Wheels,https://tazz.ro/cluj-napoca/schnitzel-on-wheels/1890/partener,Internațional 
12,McDonald’s Mihai Viteazu,https://tazz.ro/cluj-napoca/mcdonald-s-mihai-viteazu/1418/partener,American 
13,Stradale Cluj,https://tazz.ro/cluj-napoca/stradale-cluj/3404/partener,Internațional 
14,McDonald’s Manastur DT,https://tazz.ro/cluj-napoca/mcdonald-s-manastur-dt/1419/partener,American 
15,Taco Bell Iulius Cluj,https://tazz.ro/cluj-napoca/taco-bell-iulius-cluj/1783/partener,Mexican 
16,Pizza Yola,https://tazz.ro/cluj-napoca/pizza-yola/3179/partener,Internațional 
17,Captain Burger,https://tazz.ro/cluj-napoca/captain-burger/3174/partener,Internațional 
18,Cimbru,https://tazz.ro/cluj-napoca/cimbru/1423/partener,Internațional 
19,Jaxx,https://tazz.ro/cluj-napoca/jaxx/1399/partener,American 
20,Urban Bucket Delivery,https://tazz.ro/cluj-napoca/urban-bucket-delivery/1086/partener,Internațional 
21,Shanghai Express Memo,https://tazz.ro/cluj-napoca/shanghai-express-memo/2096/partener,Chinezesc 
22,Tot Burger Floresti,https://tazz.ro/cluj-napoca/tot-burger-floresti/1321/partener,Internațional 
23,Shanghai Iulius Mall,https://tazz.ro/cluj-napoca/shanghai-iulius-mall/1364/partener,Chinezesc 
24,Pizza Hut Cluj Iulius,https://tazz.ro/cluj-napoca/pizza-hut-cluj-iulius/3288/partener,American 
25,KFC Cluj Centru,https://tazz.ro/cluj-napoca/kfc-cluj-centru/1815/partener,American 
26,Poco Loco Floresti,https://tazz.ro/cluj-napoca/poco-loco-floresti/1181/partener,Italian 
27,Salad Box Sigma,https://tazz.ro/cluj-napoca/salad-box-sigma/3069/partener,Internațional 
28,Pizzeria Vicenzza,https://tazz.ro/cluj-napoca/pizzeria-vicenzza/1331/partener,Internațional 
29,Pizza Hut Delivery Cluj Cora,https://tazz.ro/cluj-napoca/pizza-hut-delivery-cluj-cora/1588/partener,American 
30,Pizza Hut Delivery Cluj Centru,https://tazz.ro/cluj-napoca/pizza-hut-delivery-cluj-centru/1587/partener,American 
31,Pizza Hut VIVO,https://tazz.ro/cluj-napoca/pizza-hut-vivo/3010/partener,American 
32,Double Cheese Manastur,https://tazz.ro/cluj-napoca/double-cheese-manastur/1190/partener,Italian 
33,Moritz Eis Eroilor,https://tazz.ro/cluj-napoca/moritz-eis-eroilor/4062/partener,Internațional 
34,Urban Confit,https://tazz.ro/cluj-napoca/urban-confit/4097/partener,Internațional 
35,Cookera,https://tazz.ro/cluj-napoca/cookera/3330/partener,Internațional 
36,TCI Social Club,https://tazz.ro/cluj-napoca/tci-social-club/1074/partener,Internațional 
37,Gandhi,https://tazz.ro/cluj-napoca/gandhi/4120/partener,Asiatic 
38,Irish & Music Pub,https://tazz.ro/cluj-napoca/irish-music-pub/3567/partener,Internațional 
39,Wing It,https://tazz.ro/cluj-napoca/wing-it/4048/partener,Internațional 
40,20 Pizza,https://tazz.ro/cluj-napoca/20-pizza/4217/partener,Italian 
41,The Place Cluj,https://tazz.ro/cluj-napoca/the-place-cluj/4212/partener,Internațional 
42,Good Food,https://tazz.ro/cluj-napoca/good-food/4003/partener,Internațional 
43,Brancusi 85,https://tazz.ro/cluj-napoca/brancusi-85/4007/partener,Internațional 
44,Restaurant Toledo,https://tazz.ro/cluj-napoca/restaurant-toledo/4165/partener,Internațional 
45,Cartofisserie - Vivo! Cluj,https://tazz.ro/cluj-napoca/cartofisserie-vivo-cluj/3669/partener,Internațional 
46,Buongiorno - Cucina Fiorentina,https://tazz.ro/cluj-napoca/buongiorno-cucina-fiorentina/1888/partener,Internațional 
47,Papa Land Floresti,https://tazz.ro/cluj-napoca/papa-land-floresti/3944/partener,Internațional 
48,Vagabundos Food Truck,https://tazz.ro/cluj-napoca/vagabundos-food-truck/4100/partener,Mexican 
49,La Piadina Eroilor,https://tazz.ro/cluj-napoca/la-piadina-eroilor/3869/partener,Italian 
50,New York Bagels,https://tazz.ro/cluj-napoca/new-york-bagels/4082/partener,Internațional 
51,The Masters,https://tazz.ro/cluj-napoca/the-masters/3986/partener,Internațional 
52,Ciao New York,https://tazz.ro/cluj-napoca/ciao-new-york/3956/partener,Internațional 
53,Bistro Capriccio,https://tazz.ro/cluj-napoca/bistro-capriccio/4041/partener,Internațional 
54,Ramen,https://tazz.ro/cluj-napoca/ramen/3924/partener,Asiatic 
55,Poco Loco Marasti,https://tazz.ro/cluj-napoca/poco-loco-marasti/1179/partener,Italian 
56,Mado Cluj Vivo Mall,https://tazz.ro/cluj-napoca/mado-cluj-vivo-mall/3748/partener,Românesc 
57,Spartan Cluj Vivo,https://tazz.ro/cluj-napoca/spartan-cluj-vivo/4024/partener,Grecesc 
58,Il Forno,https://tazz.ro/cluj-napoca/il-forno/4199/partener,Italian 
59,Cartofisserie,https://tazz.ro/cluj-napoca/cartofisserie/3701/partener,Internațional 
60,Yep `n Yo Vivo,https://tazz.ro/cluj-napoca/yep-n-yo-vivo/3937/partener,Internațional 
61,Spartan Cluj Eroilor,https://tazz.ro/cluj-napoca/spartan-cluj-eroilor/4023/partener,Grecesc 
62,Spartan Cluj Iulius Mall,https://tazz.ro/cluj-napoca/spartan-cluj-iulius-mall/4021/partener,Grecesc 
63,Mado Cluj Iulius Mall,https://tazz.ro/cluj-napoca/mado-cluj-iulius-mall/3747/partener,Românesc 
