El mercado,Zanahoria Carrefour 1 kg,"0,65 €","0,65 €/kg",https://www.carrefour.es/supermercado/zanahoria-carrefour-1-kg/R-fprod1410012/p
El mercado,Cebolla Carrefour 1 Kg,"1,19 €","1,19 €/kg",https://www.carrefour.es/supermercado/cebolla-carrefour-1-kg-carrefour/R-521032276/p
El mercado,Calabacín Carrefour a granel 1 kg aprox,"1,95 €","1,95 €/kg",https://www.carrefour.es/supermercado/calabacin-carrefour-a-granel-1-kg-aprox/R-VC4AECOMM-431967/p
El mercado,Plátano de Canarias Carrefour 1 Kg aprox,"2,15 €","2,15 €/kg",https://www.carrefour.es/supermercado/platano-de-canarias-carrefour-1-kg-aprox-carrefour/R-fprod1320278/p
El mercado,Patata lavada Carrefour 5 Kg,"1,29 €","0,79 €/kg",https://www.carrefour.es/supermercado/patata-lavada-carrefour-5-kg-carrefour/R-525888361/p
El mercado,Pimiento verde Italiano 500 g,"1,45 €","2,58 €/kg",https://www.carrefour.es/supermercado/pimiento-verde-italiano-500-g/R-527030823/p
El mercado,Ajo Calidad y Origen Carrefour 250 g,"1,10 €","5,80 €/kg",https://www.carrefour.es/supermercado/ajo-calidad-y-origen-carrefour-250-g-calidad-y-origen-carrefour/R-521031667/p
El mercado,Puerro manojo de 500 g,"1,65 €","2,20 €/kg",https://www.carrefour.es/supermercado/puerro-manojo-de-500-g/R-521032287/p
El mercado,Cebolla 2 Kg,"2,15 €","0,82 €/kg",https://www.carrefour.es/supermercado/cebolla-2-kg/R-521032274/p
El mercado,Naranja 4 kg,"1,39 €","0,75 €/kg",https://www.carrefour.es/supermercado/naranja-4-kg-carrefour/R-521032164/p
El mercado,Tomate rama Carrefour 1 Kg aprox,"1,20 €","1,35 €/kg",https://www.carrefour.es/supermercado/tomate-rama-carrefour-1-kg-aprox-carrefour/R-530913262/p
El mercado,Uva blanca sin pepitas Carrefour bandeja 500 g,"3,20 €","4,30 €/kg",https://www.carrefour.es/supermercado/uva-blanca-sin-pepitas-carrefour-bandeja-500-g/R-fprod1460464/p
El mercado,Judía verde plana Cat 1ª malla 500 g,"4,98 €","2,78 €/kg",https://www.carrefour.es/supermercado/judia-verde-plana-cat-1-malla-500-g/R-521032238/p
